Biagrams,Frequency
"('armed', 'fulani')",6
"('countryx99s', 'middle')",6
"('nigeria', 'terrorists')",6
"('northern', 'nigeria')",6
"('northeast', 'nigeria')",6
"('haram', 'killer')",6
"('sahara', 'reporters')",6
"('communities', 'herdsmen')",6
"('cattle', 'breeders')",6
"('rescue', 'benue')",6
"('pastor', 'northeast')",6
"('herdsmen', 'nigeria')",6
"('terrorists', 'countryx99s')",6
"('bandits', 'killer')",6
"('nigeriajust', 'month')",5
"('nigeria', 'still')",5
"('herdsmen', 'killers')",5
"('middle', 'state')",5
"(""n't"", 'fulani')",5
"('herdsmen', 'going')",5
"('innocent', 'people')",5
"(""''"", 'you')",5
"('nigeria', 'fulani')",5
"('christian', 'homes')",5
"('happening', 'southern')",5
"('president', 'buhari')",5
"('bandits', 'haram')",5
"('local', 'government')",5
"('crisis', 'taraba')",5
"('happened', 'nigeriajust')",5
"('already', 'happened')",5
"('sudan', 'already')",5
"('allah', 'cattle')",5
"('herdsmen', 'arrested')",5
"('herdsmen', 'kidnapping')",5
"('terrorists', 'masquerading')",5
"('fulani', 'herds')",5
"('terrorist', ""'"")",5
"('attack', 'community')",5
"('taraba', 'claims')",5
"('herdsmen', 'rampage')",5
"('burning', 'christian')",5
"('christians', 'burning')",5
"('olaoluwa', 'olorunfemi')",5
"('benue', 'killing')",5
"('killed', 'benue')",5
"('benue', 'community')",5
"('people', ""'"")",5
"('herdsmen', 'fulani')",5
"('farmer', 'olaoluwa')",5
"('fulani', 'bandits')",5
"('niger', 'republic')",5
"('south', 'south')",5
"('you', ""'re"")",5
"('herdsmen', 'northern')",5
"('immigration', 'officers')",5
"('lives', 'nigerian')",5
"('marginalization', 'killings')",5
"('herdsmen', 'a')",5
"('herdsmen', 'kidnap')",5
"('nigerian', 'immigration')",5
"('killings', 'herdsmen')",5
"('banditry', 'herdsmen')",4
"('fulani', 'h')",4
"('yoruba', 'herdsmen')",4
"('forest', 'reserve')",4
"('agooyinbo', 'forest')",4
"('islamic', 'terrorists')",4
"('years', 'buhari')",4
"('akure', 'north')",4
"('deadly', 'attacks')",4
"('herdsmen', 'terrorism')",4
"('government', 'imported')",4
"('kaduna', 'merely')",4
"('kidnap', 'fulani')",4
"('herdsmen', 'bandit')",4
"('``', 'fulani')",4
"('bokoharam', 'fulani')",4
"('herdsmen', 'freely')",4
"('merely', 'conflict')",4
"('homes', 'unchallenged')",4
"('herdsmen', 'th')",4
"('conflict', 'herdsmen')",4
"('unchallenged', 'nige')",4
"('here', ""'"")",4
"('benue', 'southern')",4
"('banditry', 'fulani')",4
"('terrorists', 'haram')",4
"('kidnappers', 'herdsmen')",4
"('enugu', 'state')",4
"('suspected', 'fulani')",4
"('reserve', 'akure')",4
"('haram', 'leaving')",4
"('party', 'confirmed')",4
"('nigeria', 'herdsmen')",4
"('chapter', 'labour')",4
"('brother', 'kidnapped')",4
"('herdsmen', 'slaughtering')",4
"('behind', 'herdsmen')",4
"('murdered', 'herdsmen')",4
"(""''"", 'the')",4
"('state', 'chapter')",4
"('attack', 'suspected')",4
"('yoruba', 'people')",4
"('killed', 'fulani')",4
"('herdsmen', 'plateau')",4
"('herdsmen', 'finish')",4
"('killing', 'indigenous')",4
"('kidnapped', 'herdsmen')",4
"('fresh', 'farmers')",4
"('buhari', 'account')",4
"('chairman', 'murdered')",4
"('herdsmen', 'killings')",4
"('women', 'children')",4
"('trace', 'bandits')",4
"('state', 'benue')",4
"('bandits', 'kidnappers')",4
"('month', 'nigerians')",4
"('human', 'rights')",4
"('killings', 'southern')",4
"('iswap', 'herdsmen')",4
"('bandits', 'killing')",3
"('force', 'codenamed')",3
"('sunday', 'president')",3
"('never', 'heard')",3
"('iswap', 'terrorists')",3
"('*', 'victims')",3
"('nigerian', 'police')",3
"('operation', 'whirl')",3
"('herdsmen', 'without')",3
"('codenamed', 'operation')",3
"('inherited', 'haram')",3
"(""''"", 'there')",3
"('whirl', 'stroke')",3
"('fight', 'fulani')",3
"('transfer', 'spring')",3
"('buhari', 'haram')",3
"('mrathaniel', 'ochoche')",3
"('chairman', 'mrathaniel')",3
"('murder', 'chairman')",3
"(""''"", '``')",3
"('confirmed', 'murder')",3
"('peacekeeping', 'force')",3
"('stroke', 'local')",3
"('killings', 'from')",3
"('terrorist', 'group')",3
"('x87xacx87xa7/', 'fulani')",3
"('influx', 'herdsmen')",3
"('x98x82', ""'"")",3
"('killed', 'herdsmen')",3
"('nigerian', 'military')",3
"('herdsmen', 'enter')",3
"('raise', 'alarm')",3
"('farmers', 'raise')",3
"('nigeria', 'using')",3
"('within', 'country')",3
"('country', ""'"")",3
"('murdering', 'herdsmen')",3
"('worse', 'fulani')",3
"('around', 'killing')",3
"('herdsmen', 'state')",3
"('olorunfemi', 'killed')",3
"('fiftyyearold', 'farmer')",3
"('allow', 'fulani')",3
"('eastern', 'governors')",3
"('spate', 'deadly')",3
"('wrote', 'eastern')",3
"('using', 'herdsmen')",3
"('nonstate', 'actors')",3
"('number', 'people')",3
"('herdsmen', 'clash')",3
"('iswap', 'fulani')",3
"('fulanis', 'herdsmen')",3
"('soldier', 'sahara')",3
"('spring', 'pastures')",3
"('north', 'local')",3
"('imported', 'armed')",3
"('labor', 'party')",3
"('innocent', 'nigerians')",3
"('killers', 'herdsmen')",3
"('arrested', 'fulani')",3
"('terrorist', 'business')",3
"('local', 'council')",3
"('nigerians', 'brutallally')",3
"('officers', 'soldier')",3
"('herdsmen', 'brothers')",3
"('north', 'fulani')",3
"('people', 'in')",3
"('government', 'fulani')",3
"('nigeriansfulani', 'herdsmen')",3
"('extremists', 'kills')",3
"('people', 'north')",3
"('killings', 'fulani')",3
"('huriwa', 'sunday')",3
"('terrorism', ""'"")",3
"('killer', 'h')",3
"('buhari', 'government')",3
"('nigerian', 'peacekeeping')",3
"('nothing', 'farmers')",3
"('business', 'center')",3
"('government', 'behind')",3
"('problem', 'herdsmen')",3
"('buhari', 'leave')",3
"('breeders', 'villages')",3
"('brown', 'envelope')",3
"('national', 'security')",3
"('herdsmen', 'yearold')",3
"('yearold', 'plateau')",3
"('rights', 'writers')",3
"('writers', 'association')",3
"('association', 'nigeria')",3
"('nigeria', 'huriwa')",3
"('herdsmen', 'arrest')",3
"('herdsmen', 'terrorizing')",3
"('daily', 'basis')",3
"('nigeriansnfulani', 'herdsmen')",3
"(""''"", 'this')",3
"('killing', 'nigeriansnfulani')",3
"('nigeria', 'ca')",3
"('account', 't')",3
"(""''"", 'herdsmen')",3
"('time', ""'"")",3
"('first', ""'"")",3
"('killing', 'nigeriansfulani')",3
"('nigeriansnfulani', 'herd')",3
"('happening', 'nigeria')",3
"('security', 'agents')",3
"('herdsmen', 'waging')",3
"('cried', 'twitter')",3
"('waging', 'innocent')",3
"('innocent', 'nigeriansnfulani')",3
"('nigeria', 'happen')",3
"('build', 'bridges')",3
"('murderous', 'fulani')",3
"('herdsmen', 'never')",3
"('actually', 'brother')",3
"('herdsmen', 'cried')",3
"('raped', 'killed')",3
"('million', 'people')",3
"('militia', 'mourners')",3
"('hands', 'fulani')",3
"('nigeria', 'already')",3
"('muhammadu', 'buhari')",3
"('nigeria', 'always')",3
"('nigeria', 'terrorist')",3
"('herdsmen', 'murdering')",3
"(""''"", ""'"")",3
"('brothers', 'sisters')",3
"('nigeria', 'morningstar')",3
"('herdsmen', 'appeal')",3
"(""'"", 'r')",3
"('appeal', 'security')",3
"('terrorist', 'killer')",3
"('community', 'injure')",3
"('herdsmen', 'k')",3
"('they', ""'"")",3
"('understand', 'herdsmen')",3
"('sudan', 'nigeria')",3
"('security', 'rising')",3
"('arrest', 'fulani')",3
"('mourners', 'benue')",3
"('rising', 'spate')",3
"(""n't"", 'haram')",3
"('criminals', 'herdsmen')",3
"('haram', 'bandit')",3
"('buhari', 'fulani')",3
"('nigerians', 'sudan')",3
"('herdsmen', 'political')",3
"('haram', 'unknown')",3
"('killing', 'innocent')",3
"('labour', 'partyxa0chairman')",3
"('kidnapping', 'herdsmen')",3
"('bandit', ""'"")",3
"('called', 'nigeria')",3
"('x98x82', 'x98x82')",3
"('police', 'arrested')",3
"('federal', 'government')",3
"('killing', 'benue')",3
"('herdsmen', 'government')",3
"('brother', 'kidnap')",3
"('herdsmen', 'river')",3
"('river', 'enugu')",3
"('state', 'yesterday')",3
"('yesterday', 'night')",3
"('herdsmen', 'visit')",3
"('night', ""'"")",3
"('herdsmen', 'caught')",3
"('fulani', 'herd')",3
"('herdsmen', 'jihadist')",3
"('attacks', 'wednesday')",3
"('protect', 'people')",3
"('that', ""'"")",3
"('president', 'muhammadu')",3
"('herdsmen', 'niger')",3
"('benue', 'people')",3
"('grave', 'please')",3
"('people', 'wounded')",3
"('forgive', 'grave')",3
"('wednesday', 'april')",3
"('brother', 'killed')",3
"('herdsmen', 'transfer')",3
"('police', 'military')",3
"('plateau', 'state')",3
"('please', 'presido')",3
"('walking', 'freely')",3
"('security', 'agencies')",3
"('wounded', 'others')",3
"('herdsmen', 'problem')",3
"('witches', 'wizard')",3
"('giving', 'nigeria')",2
"('killing', 'o')",2
"('insecurity', 'nigeria')",2
"('picked', 'bokoharam')",2
"('herdsmen', 'cause')",2
"('killed', 'suspected')",2
"('xa3agos', 'gutter')",2
"('sense', ""''"")",2
"('spent', 'years')",2
"('journalism', 'itx99s')",2
"('gutter', 'journalism')",2
"('haram', 'jihadist')",2
"('marginalization', 'killin')",2
"('police', 'force')",2
"('killed', 'kidnapped')",2
"('police', 'trace')",2
"('itx99s', 'besthey')",2
"('besthey', 'wrote')",2
"('nigeria', 'bandit')",2
"('belt', ""'"")",2
"('present', 'government')",2
"('kokona', 'local')",2
"('miyetti', 'allah')",2
"('murdering', 'innocent')",2
"('people', 'daily')",2
"('wrote', 'foreheadson')",2
"('police', ""'"")",2
"('people', 'right')",2
"('count', 'scores')",2
"('chairman', 'killed')",2
"('iswap', 'bandits')",2
"('traced', 'arrested')",2
"('herdsmen', 'every')",2
"('humans', 'finish')",2
"('foreheadson', 'worry')",2
"('going', 'killing')",2
"(""''"", 'ikonso')",2
"('meanwhile', 'terrorist')",2
"('nigeria', 'worst')",2
"('xa3na', 'person')",2
"('marauding', 'herdsmen')",2
"('herdsmen', 'i')",2
"('former', 'president')",2
"('member', 'break')",2
"('chairman', 'labour')",2
"('finish', 'xa3na')",2
"('worry', 'fulani')",2
"('break', 'rather')",2
"('state', 'nathaniel')",2
"('atrocities', 'committed')",2
"('nathaniel', 'ochoche')",2
"('security', 'operatives')",2
"('death', 'member')",2
"('leading', 'death')",2
"('ikonso', 'commander')",2
"('ikonso', 'leading')",2
"('april', 'fulani')",2
"('herdsmen', 'terrorising')",2
"('killing', 'kidnapping')",2
"('commander', 'ikonso')",2
"('rest', ""'"")",2
"('party', 'benue')",2
"('militia', 'herdsmen')",2
"('werey', ""'"")",2
"('killed', 'farmlands')",2
"('igbobi', 'community')",2
"('properties', 'destroyed')",2
"('destroyed', 'weeks')",2
"('weeks', 'militia')",2
"('herdsmen', 'humans')",2
"('herdsmen', 'story')",2
"('nigeria', 'farmers')",2
"('kazak', 'autonomous')",2
"('bandits', 'iswap')",2
"('ws', ""n't"")",2
"('multidimensional', 'poverty')",2
"('actions', 'fulani')",2
"('nigeria', 'haram')",2
"('carnage', 'fulani')",2
"('herdsmen', 'b')",2
"('build', 'nation')",2
"('nigeria', 'presidency')",2
"('herdsmen', 'everywhere')",2
"('``', 'herders')",2
"('herders', 'farmers')",2
"('crises', ""''"")",2
"('itx99s', 'herdsmen')",2
"('villages', 'benue')",2
"('rescue', 'people')",2
"('can', 'trace')",2
"('yearold', 'farmer')",2
"('communitya', 'yearold')",2
"('middle', 'belt')",2
"('murdered', 'suspected')",2
"('attacks', 'benue')",2
"('farmlands', 'properties')",2
"('eight', 'years')",2
"('prefer', 'fulani')",2
"('bandits', 'oluomo')",2
"('picked', 'oluomo')",2
"('within', 'month')",2
"('anywhere', 'world')",2
"('invaders', 'repel')",2
"('herdsmen', 'carrying')",2
"('benue', 'armed')",2
"('asking', 'police')",2
"('people', 'nigeria')",2
"('lafia', 'keffi')",2
"('chairman', 'phoenix')",2
"('deborah', 'samuel')",2
"('murder', 'benue')",2
"('people', 'dieing')",2
"('sacking', 'villages')",2
"('terrorizing', 'nigerians')",2
"('herdsmen', 'purpose')",2
"('herdsmen', 'southern')",2
"('exactly', 'fulani')",2
"('herders', 'attack')",2
"('spread', 'countrysidex94')",2
"('happened', 'spread')",2
"('herdsmen', 'happened')",2
"('when', 'herdsmen')",2
"('``', 'when')",2
"('injured', 'herders')",2
"('killers', 'deborah')",2
"('attorney', 'general')",2
"('killed', 'injured')",2
"('attacked', 'igbobi')",2
"('herdsmen', 'happen')",2
"('going', 'nigeria')",2
"('zoological', 'republic')",2
"('ancestral', 'lands')",2
"('herdsmen', 'start')",2
"('nigerians', 'slaughtered')",2
"('condemn', 'fulani')",2
"('``', 'suspected')",2
"('fulani', 'herdsmen/bandits')",2
"('killed', 'on')",2
"('slaughtered', 'fulani')",2
"('purpose', ""'"")",2
"('kidnappers', 'fulani')",2
"('haram', ""'"")",2
"('sisters', 'mothers')",2
"('nigeria', 'moving')",2
"('still', 'supporting')",2
"('police', 'officers')",2
"('politicians', 'herdsmen')",2
"('officers', 'local')",2
"('local', 'herdsmen')",2
"('declared', 'terrorist')",2
"('bandits', 'terrorist')",2
"('spring', 'pasture')",2
"('pasture', 'kazak')",2
"('fulani', 'k')",2
"('everyday', 'occuranceheir')",2
"('herdsmen', 'killer')",2
"('police', 'arrest')",2
"('killings', 'attrib')",2
"('include', 'killings')",2
"('herdsmen', 'atrocities')",2
"('provided', 'include')",2
"('statistic', 'provided')",2
"('going', 'around')",2
"('right', 'herdsmen')",2
"('president', 'nigeria')",2
"('offender', 'anywhere')",2
"('going', 'start')",2
"('soon', ""'"")",2
"('identify', 'herdsmen')",2
"('x9cpeter', 'troll')",2
"('herdsmen', 'freedom')",2
"('fulani', 'terror')",2
"('maintain', 'activity')",2
"('herdsmen', 'answer')",2
"('islamist', 'extremists')",2
"('extremists', 'pastor')",2
"('still', 'better')",2
"('reports', 'herdsmen')",2
"('anyone', 'nigeria')",2
"('igbos', 'killed')",2
"('herdsmen', 'really')",2
"('north', ""'"")",2
"('herdsmen', 'another')",2
"('another', 'benue')",2
"('benue', 'attack')",2
"('suspected', 'herders')",2
"('leave', 'alone')",2
"('bandits', 'and')",2
"('killed', 'everyday')",2
"('herdsmen', 'oluomo')",2
"('peaceful', 'protesters')",2
"('haram', 'members')",2
"('people', 'fight')",2
"('political', 'assassination')",2
"('don', 'herdsmen')",2
"('iswap', 'haram')",2
"('killing', 'daily')",2
"('play', ""'"")",2
"('twitter', 'x9cpeter')",2
"('insecurity', 'hunger')",2
"('zamfarajigawa', 'kebbi')",2
"('nigeria', 'x87xb3x87xac')",2
"('predominantly', 'christians')",2
"('banditrykiller', 'herdsmen')",2
"('lives', 'predominantly')",2
"('saved', 'lives')",2
"('abdulkadir', 'saved')",2
"('abdullah', 'abdulkadir')",2
"('alarm', 'herdsmenx99s')",2
"('saying', 'herdsmen')",2
"('terrorist', 'haram')",2
"('confirms', 'killing')",2
"('killing', 'chairman')",2
"('chairman', 'herdsmen')",2
"('police', 'suspected')",2
"('population', 'million')",2
"('banditry', 'killer')",2
"('electionnly', 'zamfarajigawa')",2
"('we', ""'ve"")",2
"('presidential', 'electionnly')",2
"('haram', 'kidnappers')",2
"('killed', 'armed')",2
"('threat', 'herdsmen')",2
"('herdsmen', 'sneak')",2
"('killings', 'nigerians')",2
"('please', 'x8f')",2
"('foolani', 'herdsmen')",2
"('armed', 'forces')",2
"('support', 'nigeria')",2
"('government', 'they')",2
"('people', 'terrorists')",2
"('fulani', 'herdsme')",2
"('can', 'locate')",2
"('locate', 'fulani')",2
"('report', 'murderous')",2
"('thing', 'report')",2
"('herdsmen', 'yorubas')",2
"('fulani', 'he')",2
"('herdsmen', 'itx99s')",2
"('herdsmen', 'o')",2
"('heard', 'fulani')",2
"('voted', 'buhari')",2
"('people', 'decided')",2
"('herdsmen', 'right')",2
"('herdsmen', 'who')",2
"('wrong', 'with')",2
"('nothing', 'wrong')",2
"('herdsmen', 'butcher')",2
"('freedom', 'fighters')",2
"('*', '*')",2
"('farming', 'herdsmen')",2
"('communities', 'military')",2
"('military', 'deployment')",2
"('storm', 'benue')",2
"('chairman', 'inxa0benue')",2
"('since', 'herdsmen')",2
"('herdsmen', 'collect')",2
"('protecting', 'terrorist')",2
"('herdsmen', 'spirits')",2
"('thinking', 'fulani')",2
"('fight', 'haram')",2
"('livestock', 'migration')",2
"('occuranceheir', 'nothing')",2
"('herdsmen', 'allowed')",2
"('almost', 'everyday')",2
"('ix99m', 'thinking')",2
"('nigeria', 'almost')",2
"('herdsmen', 'ak47')",2
"('election', 'herdsmen')",2
"('x98x82x98x82x98x82', ""'"")",2
"('forgot', 'mention')",2
"('farmersherdsmen', 'clashes')",2
"('haram', 'terrorist')",2
"('others', 'predomin')",2
"('condemn', 'herdsmen')",2
"('haram', 'a')",2
"('instead', 'fulani')",2
"('calling', 'fulani')",2
"('marauding', 'fulani')",2
"('kaduna', 'indigenes')",2
"('nigeria', 'supported')",2
"('herdsmen', 'kil')",2
"('cattlecatching', 'surat')",2
"('common', 'sense')",2
"('x94', ""'"")",2
"('tinubu', ""'"")",2
"('benue', 'kaduna')",2
"('herdsmen', 'chairman')",2
"('migration', 'herdsmen')",2
"('presido', 'leave')",2
"('herdsmen', 'forest')",2
"('nothing', 'e')",2
"('magnificent', 'livestock')",2
"('herdsmen', 'needs')",2
"('slaughtering', 'fellow')",2
"('nigerians', 'killer')",2
"('country', 'nigeria')",2
"('herdsmen', 'police')",2
"('killing', 'farmers')",2
"('herdsmen', 'banditry')",2
"('muslim', 'x98xaaxefxb8x8f')",2
"('first', 'years')",2
"('not', 'protect')",2
"('buhari', 'administration')",2
"('terrorist', ""''"")",2
"('herdsmen', 'clashes')",2
"('farmers', ""'"")",2
"('terrorism', 'fulani')",2
"('bandit', 'fulani')",2
"('killing', 'nigeria')",2
"('lem', 'me')",2
"('whatx99s', 'happening')",2
"('citizens', 'fulani')",2
"('everything', ""'"")",2
"('alerts', 'citizens')",2
"('enjoy', 'alerts')",2
"('herdsmen', 'invaded')",2
"('chairman', ""'"")",2
"('always', 'called')",2
"('systems', 'they')",2
"('killed', 'multiple')",2
"('suspected', 'armed')",2
"('incessant', 'killings')",2
"('victims', 'herdsmen')",2
"('world', 'herdsmen')",2
"('hausa', 'fulani')",2
"('fulani', 'invadershen')",2
"('herdsmen', 'living')",2
"('impunity', 'calls')",2
"('center', 'called')",2
"('herdsmen', 'rest')",2
"('kidnappers', 'haram')",2
"('murdered', 'fulani')",2
"('anywhere', 'across')",2
"('rampage', 'killing')",2
"('herdsmen', 'terror')",2
"(""''"", 'but')",2
"('herdsmen', 'ghost')",2
"('herdsmen', 'and')",2
"('missing', 'following')",2
"('herdsmen', 'are')",2
"('raises', 'alarm')",2
"('protect', 'minority')",2
"('eight', 'others')",2
"('ethnic', 'cleansing')",2
"('stooges', 'fulani')",2
"('herdsmen', 'farmersxc3xa2')",2
"('fulani', 'herdsmenhe')",2
"('farmers', 'atxa0powerline')",2
"('fulani', 'fulani')",2
"('biafrans', 'subjected')",2
"('farmers', 'an')",2
"('reportedly', 'killed')",2
"('you', ""'ll"")",2
"('visits', 'victims')",2
"('daily', 'nigeria')",2
"('herdsmen', 'they')",2
"('invadershen', 'impunity')",2
"('herdsmenboko', 'haram')",2
"('community', 'soldier')",2
"('defeat', 'ragtag')",2
"('living', 'the')",2
"('indigenous', 'peoples')",2
"('created', 'defend')",2
"('country', ""''"")",2
"('naira', 'dollar')",2
"('terrorism', 'herdsmen')",2
"('defend', 'biafrans')",2
"('people', 'occupying')",2
"('sahara', 'repor')",2
"('nigeria', 'killings')",2
"('following', 'attack')",2
"('minority', 'ethnic')",2
"('security', 'network')",2
"('rampage', 'benue')",2
"('state', ""''"")",2
"('looking', 'herdsmen')",2
"('calling', 'herdsmen')",2
"('people', 'every')",2
"('everywhere', ""'"")",2
"('villages', 'quest')",2
"('herdsmen', 'continue')",2
"('think', 'nigeria')",2
"('unable', 'defeat')",2
"('people', 'using')",2
"('ragtag', 'gaggle')",2
"('across', 'world')",2
"('subjected', 'fulani')",2
"('commit', 'crimes')",2
"('witches', 'wizards')",2
"('terrorist', 'country')",2
"('people', 'start')",2
"('fulani', 'herdsmenhey')",2
"('herdsmen', 'pursue')",2
"('mightiest', 'army')",2
"('north', 'middle')",2
"('challenging', 'mightiest')",2
"('years', 'challenging')",2
"('attack', 'herdsmen')",2
"('esnhe', 'wrote')",2
"('gunmen', 'haram')",2
"('nigerians', 'hands')",2
"('herdsmen', 'edikwu')",2
"('governors', 'officially')",2
"('commander', 'nigerian')",2
"('herdsmen', 'leave')",2
"('ethnic', 'nationalities')",2
"('nationalities', 'killer')",2
"('actors', 'create')",2
"('brothers', 'fulani')",2
"('retweet', '')",2
"('create', 'insecurity')",2
"('herdsmen', 'group')",2
"('group', 'tells')",2
"('tells', 'incoming')",2
"('council', 'o')",2
"('incoming', 'tinubu')",2
"('tinubu', 'administration')",2
"('insecurity', 'chaos')",2
"('clash', ""''"")",2
"('allah', 'c')",2
"('festus', 'keyamo')",2
"('herdsmen', 'herdsmen')",2
"('amnesty', 'international')",2
"(""'re"", 'applying')",2
"('chaos', 'blackmail')",2
"('iswap', 'kidnappers')",2
"('atxa0powerline', 'agooyinbo')",2
"('state', 'confirmed')",2
"(""''"", 'buhari')",2
"('people', 'country')",2
"('more', ""'"")",2
"('terrorists', 'bandits')",2
"(""''"", 'police')",2
"('herdsmen', 'security')",2
"('iortsor', 'arrested')",2
"('aware', 'anything')",2
"('blame', 'herdsmen')",2
"('herdsmen', 'chased')",2
"('blackmail', 'compromised')",2
"('agencies', 'protecting')",2
"('terrorism', 'gunman')",2
"('terrorists', 'bo')",2
"('right', ""'"")",2
"('complain', 'fulani')",2
"('herdsmen', 'attacking')",2
"('bandits', 'bokoharam')",2
"(""n't"", 'herdsmen')",2
"('government', 'kills')",2
"('herdsmen', 'invasion')",2
"('arrested', 'conspiring')",2
"('terrorist', 'government')",2
"('herdsmen', 'crises')",2
"('farmer', 'herdsmen')",2
"('youx99re', 'right')",2
"('brutallally', 'murder')",2
"('herdsmen', 'reportedly')",2
"('people', 'control')",2
"('brought', 'haram')",2
"('identified', 'ternenge')",2
"('applying', 'nigeria')",2
"('using', 'haram')",2
"('arrested', ""'"")",2
"('catch', 'fulani')",2
"('herdsmen', 'soldiers')",2
"('herdsmen', 'crimes')",2
"('ternenge', 'iortsor')",2
"('iswap', 'ampisis')",2
"('recent', 'attacks')",2
"('fresh', 'attack')",2
"('ai', ""n't"")",2
"('people', 'killers')",2
"('people', '``')",2
"('herdsmen', 'benuex99s')",2
"('invading', 'fulani')",2
"('arrest', 'herdsmen')",2
"('north', 'walking')",2
"('never', 'arrest')",2
"('lands', 'invading')",2
"('never', 'understand')",2
"('innocent', 'citizens')",2
"('gaggle', 'herdsmen')",2
"('slaughtering', 'people')",2
"('social', 'media')",2
"('people', 'nigerians')",2
"('envelope', 'media')",2
"('herdsmen', 'field')",2
"('protecting', 'lands')",2
"('government', 'declare')",2
"('ampisis', 'afri')",2
"('defend', 'herdsmen')",2
"('control', 'stooges')",2
"('never', 'condemned')",2
"('herdsmen', 'entire')",2
"('people', 'murdered')",2
"('slaughtered', 'herdsmen')",2
"('x98x82x98x82', ""'"")",2
"('stooge', 'million')",2
"('niger', 'delta')",2
"('herdsmen', 'walking')",2
"('general', 'election')",2
"('herdsmen', 'first')",2
"('herdsmen', 'destroy')",2
"('daily', 'statesman')",2
"('sunday', 'night')",2
"('government', 'security')",2
"('morning', 'sirmy')",2
"('crisis', 'fulani')",2
"('``', 'yoruba')",2
"('different', 'fulani')",2
"('raised', 'alarm')",2
"('always', 'herdsmen')",2
"('sirmy', 'brother')",2
"('conspiring', 'herdsmen')",2
"('iswap', 'bokoharam')",2
"('herdsmen', 'w')",2
"('community', ""'"")",2
"('called', 'herdsmen')",2
"('attack', 'anyiin')",2
"('herdsmen', 'friendroonu')",1
"('hausa', 'arewa')",1
"('christians', 'an')",1
"('bokoharam', 'since')",1
"('benuethe', 'benue')",1
"('since', 'fulani')",1
